filepath,species_code,common_name,vocalization_type,quality_rating,duration,source
audio/xc/1060250.mp3,north_american_red_squirrel,North American Red Squirrel,call,5,0:07,xeno-canto
audio/xc/1020851.mp3,coyote,Coyote,call,5,0:33,xeno-canto
audio/xc/1020611.mp3,spring_peeper,Spring Peeper,"call, chorus",5,2:35,xeno-canto
audio/xc/1020608.mp3,spring_peeper,Spring Peeper,call,5,2:39,xeno-canto
audio/xc/1020607.mp3,spring_peeper,Spring Peeper,call,5,2:26,xeno-canto
audio/xc/1017885.mp3,north_american_red_squirrel,North American Red Squirrel,call,5,0:47,xeno-canto
audio/xc/1017877.mp3,north_american_red_squirrel,North American Red Squirrel,call,5,1:17,xeno-canto
audio/xc/1017876.mp3,north_american_red_squirrel,North American Red Squirrel,"call, rattle",5,0:13,xeno-canto
audio/xc/1017859.mp3,north_american_red_squirrel,North American Red Squirrel,call,5,0:14,xeno-canto
audio/xc/1014820.mp3,bronze_frog,Bronze Frog,advertisement call,5,1:04,xeno-canto
audio/xc/1014819.mp3,bronze_frog,Bronze Frog,advertisement call,5,1:27,xeno-canto
audio/xc/1014818.mp3,bronze_frog,Bronze Frog,advertisement call,5,0:40,xeno-canto
audio/xc/1014045.mp3,north_american_red_squirrel,North American Red Squirrel,"alarm call, call, rattle",5,0:12,xeno-canto
audio/xc/1014044.mp3,north_american_red_squirrel,North American Red Squirrel,"alarm call, call, rattle",5,0:18,xeno-canto
audio/xc/1014041.mp3,north_american_red_squirrel,North American Red Squirrel,call,5,0:16,xeno-canto
audio/xc/1014017.mp3,spring_peeper,Spring Peeper,advertisement call,5,1:25,xeno-canto
audio/xc/1013833.mp3,north_american_red_squirrel,North American Red Squirrel,call,5,0:28,xeno-canto
audio/xc/1013243.mp3,north_american_red_squirrel,North American Red Squirrel,call,5,0:19,xeno-canto
audio/xc/1012929.mp3,north_american_red_squirrel,North American Red Squirrel,call,5,0:54,xeno-canto
audio/xc/1012501.mp3,eastern_gray_squirrel,Eastern Gray Squirrel,call,5,1:32,xeno-canto
audio/xc/1007951.mp3,north_american_red_squirrel,North American Red Squirrel,call,5,0:35,xeno-canto
audio/xc/993019.mp3,north_american_red_squirrel,North American Red Squirrel,call,5,1:21,xeno-canto
audio/xc/993017.mp3,north_american_red_squirrel,North American Red Squirrel,call,5,0:07,xeno-canto
audio/xc/991119.mp3,north_american_porcupine,North American Porcupine,uncertain,5,7:45,xeno-canto
audio/xc/964699.mp3,canadian_lynx,Canadian Lynx,mating call,5,0:46,xeno-canto
audio/xc/964691.mp3,taiga_vole,Taiga Vole,call,5,0:39,xeno-canto
audio/xc/964690.mp3,singing_vole,Singing Vole,call,5,0:36,xeno-canto
audio/xc/960901.mp3,north_american_red_squirrel,North American Red Squirrel,alarm call,5,0:21,xeno-canto
audio/xc/960900.mp3,north_american_red_squirrel,North American Red Squirrel,alarm call,5,2:00,xeno-canto
audio/xc/606787.mp3,short-billed_gull,Short-billed Gull,"call, flight call",5,0:17,xeno-canto
audio/xc/189385.mp3,short-billed_gull,Short-billed Gull,call,5,3:23,xeno-canto
audio/xc/1049460.mp3,eastern_chipmunk,Eastern Chipmunk,"alarm call, call",4,0:18,xeno-canto
audio/xc/1035013.mp3,north_american_red_squirrel,North American Red Squirrel,call,4,0:14,xeno-canto
audio/xc/1033085.mp3,white-tailed_deer,White-tailed Deer,alarm call,4,0:27,xeno-canto
audio/xc/1031093.mp3,,,calling song,4,0:23,xeno-canto
audio/xc/1031082.mp3,broad-winged_bush-katydid,Broad-winged Bush-katydid,calling song,4,0:55,xeno-canto
audio/xc/1025148.mp3,,,calling song,4,0:20,xeno-canto
audio/xc/1025085.mp3,spring_peeper,Spring Peeper,advertisement call,4,0:40,xeno-canto
audio/xc/1024376.mp3,,,calling song,4,1:52,xeno-canto
audio/xc/1021873.mp3,eastern_gray_treefrog,Eastern Gray Treefrog,call,4,1:53,xeno-canto
audio/xc/1021777.mp3,wood_frog,Wood Frog,song,4,0:38,xeno-canto
audio/xc/1020614.mp3,spring_peeper,Spring Peeper,song,4,2:36,xeno-canto
audio/xc/1020613.mp3,spring_peeper,Spring Peeper,song,4,0:30,xeno-canto
audio/xc/1020612.mp3,spring_peeper,Spring Peeper,"call, trill",4,0:11,xeno-canto
audio/xc/1020610.mp3,spring_peeper,Spring Peeper,call,4,2:05,xeno-canto
audio/xc/1020609.mp3,spring_peeper,Spring Peeper,call,4,1:46,xeno-canto
audio/xc/1020435.mp3,bronze_frog,Bronze Frog,song,4,1:14,xeno-canto
audio/xc/1020434.mp3,bronze_frog,Bronze Frog,song,4,0:11,xeno-canto
audio/xc/1020099.mp3,american_toad,American Toad,song,4,0:57,xeno-canto
audio/xc/1020098.mp3,american_toad,American Toad,song,4,2:02,xeno-canto
audio/xc/1020097.mp3,american_toad,American Toad,call,4,0:14,xeno-canto
audio/xc/1020096.mp3,american_toad,American Toad,call,4,1:48,xeno-canto
audio/xc/1017882.mp3,north_american_red_squirrel,North American Red Squirrel,call,4,0:42,xeno-canto
audio/xc/1015006.mp3,coyote,Coyote,call,4,0:26,xeno-canto
audio/xc/1014748.mp3,spring_peeper,Spring Peeper,"advertisement call, rolled call",4,0:24,xeno-canto
audio/xc/1014043.mp3,north_american_red_squirrel,North American Red Squirrel,"alarm call, call, rattle",4,0:21,xeno-canto
audio/xc/1014042.mp3,north_american_red_squirrel,North American Red Squirrel,"alarm call, call, rattle",4,0:45,xeno-canto
audio/xc/1013722.mp3,north_american_red_squirrel,North American Red Squirrel,"alarm call, rattle",4,0:05,xeno-canto
audio/xc/1013538.mp3,american_toad,American Toad,advertisement call,4,0:16,xeno-canto
audio/xc/1013380.mp3,north_american_red_squirrel,North American Red Squirrel,call,4,0:15,xeno-canto
audio/xc/1012930.mp3,american_bullfrog,American Bullfrog,advertisement call,4,0:28,xeno-canto
audio/xc/1012928.mp3,north_american_red_squirrel,North American Red Squirrel,call,4,0:18,xeno-canto
audio/xc/1012553.mp3,north_american_red_squirrel,North American Red Squirrel,"call, rattle",4,0:05,xeno-canto
audio/xc/1012502.mp3,spring_peeper,Spring Peeper,advertisement call,4,0:07,xeno-canto
audio/xc/991514.mp3,american_toad,American Toad,"advertisement call, territorial call",4,4:00,xeno-canto
audio/xc/991110.mp3,coyote,Coyote,uncertain,4,0:50,xeno-canto
audio/xc/964695.mp3,collared_pika,Collared Pika,call,4,0:18,xeno-canto
audio/xc/959770.mp3,north_american_red_squirrel,North American Red Squirrel,call,4,0:07,xeno-canto
audio/xc/433216.mp3,short-billed_gull,Short-billed Gull,"call, calls",4,0:30,xeno-canto
audio/xc/159983.mp3,short-billed_gull,Short-billed Gull,call,4,0:52,xeno-canto
audio/xc/159982.mp3,short-billed_gull,Short-billed Gull,call,4,4:55,xeno-canto
audio/xc/159956.mp3,short-billed_gull,Short-billed Gull,call,4,7:33,xeno-canto
audio/xc/159929.mp3,short-billed_gull,Short-billed Gull,call,4,0:10,xeno-canto
audio/xc/159928.mp3,short-billed_gull,Short-billed Gull,"call, calls, long calls",4,0:33,xeno-canto
audio/xc/156743.mp3,short-billed_gull,Short-billed Gull,call,4,0:25,xeno-canto
audio/xc/66172.mp3,short-billed_gull,Short-billed Gull,call,4,0:46,xeno-canto
audio/xc/1049461.mp3,eastern_gray_squirrel,Eastern Gray Squirrel,call,3,0:05,xeno-canto
audio/xc/1022178.mp3,american_toad,American Toad,call,3,0:05,xeno-canto
audio/xc/167987.mp3,short-billed_gull,Short-billed Gull,"call, long call",3,1:29,xeno-canto
audio/xc/159925.mp3,short-billed_gull,Short-billed Gull,call,3,0:07,xeno-canto
audio/xc/159203.mp3,short-billed_gull,Short-billed Gull,call,3,1:48,xeno-canto
audio/xc/159202.mp3,short-billed_gull,Short-billed Gull,call,3,0:03,xeno-canto
audio/xc/156745.mp3,short-billed_gull,Short-billed Gull,call,3,0:54,xeno-canto
audio/xc/156744.mp3,short-billed_gull,Short-billed Gull,call,3,1:25,xeno-canto
